Algorithm,Language,Size,Package,Core(s),GPU,Time(sec)
quicksort,Haskell,25000,305.4695435,160.2813315,0.1497801666666667,12.387633333333333
quicksort,Haskell,50000,610.0972186666667,321.66965733333336,0.23407999999999998,24.6814
quicksort,Haskell,100000,1213.3879596666666,639.48938,0.442566,49.09096666666667
quicksort,Rust,25000,221.29945899999998,117.45397966666667,0.11465466666666667,8.951798333333334
quicksort,Rust,50000,472.3004455,251.39226299999999,0.19139616666666667,19.097933333333334
quicksort,Rust,100000,913.4487610000001,485.882782,0.34884649999999995,36.9686
quicksort,Swift,25000,364.12651566666665,193.96332783333332,0.14674883333333333,14.812783333333334
quicksort,Swift,50000,1243.9715373333333,665.6436766666667,0.38595583333333333,50.51855
quicksort,Swift,100000,355.721161,182.3313905,0.1400755,14.912199999999999
selectionsort,C,25000,2.4614663333333335,1.1718446666666666,0.022847333333333334,0.10984183333333335
selectionsort,C,50000,3.2470806666666667,1.5905153333333333,0.0137635,0.142741
selectionsort,C,100000,5.1507163333333335,2.681518666666667,0.016459,0.21309
selectionsort,C#,25000,12.9854735,6.809397333333333,0.01845283333333333,0.5364973333333333
selectionsort,C#,50000,13.825856333333334,7.279856333333334,0.019093666666666665,0.568805
selectionsort,C#,100000,15.071228,7.935200999999999,0.010417000000000001,0.6227656666666667
selectionsort,C++,25000,11.778035500000001,6.119750833333334,0.028330499999999998,0.4891016666666667
selectionsort,C++,50000,12.687011499999999,6.730366833333334,0.01919533333333333,0.5176021666666667
selectionsort,C++,100000,15.271464333333334,8.092387,0.015238333333333333,0.6242496666666667
selectionsort,Go,25000,3.612599833333334,1.5755513333333333,0.0293375,0.17295400000000002
selectionsort,Go,50000,3.443379833333333,1.5903421666666666,0.0108235,0.15867366666666669
selectionsort,Go,100000,3.540832333333333,1.703817,0.011332333333333333,0.157428
selectionsort,Haskell,25000,324.5201825,170.19821183333332,0.165039,13.151783333333334
selectionsort,Haskell,50000,641.093628,337.598236,0.2555846666666667,25.942400000000003
selectionsort,Haskell,100000,1306.0708006666666,687.7880046666666,0.46771233333333334,52.87109999999999
selectionsort,Rust,25000,230.122162,122.15943416666666,0.08931483333333334,9.31283
selectionsort,Rust,50000,475.76218666666665,253.02400733333334,0.17666616666666668,19.246033333333333
selectionsort,Rust,100000,956.5793759999999,508.69397000000004,0.3625795,38.6933
selectionsort,Swift,25000,340.967102,181.60691333333332,0.11309816666666667,13.884566666666666
selectionsort,Swift,50000,1210.7076315,648.5540161666667,0.3882143333333334,49.12078333333333
selectionsort,Swift,100000,316.911255,162.502838,0.134033,13.2745
