Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
Swift,selectionsort,25000,322.995483,137.185242,0.131104,144.488,16.2328
C,bubblesort,25000,2.624634,1.006409,0.015625,38.32,0.14074
C,cyclesort,25000,2.178711,0.896179,0.016479,38.512,0.111858
C,heapsort,25000,2.586853,1.055420,0.022339,37.48,0.131256
C,insertionsort,25000,1.935242,0.785767,0.011353,37.556,0.098661
C,mergesort,25000,3.064453,1.253357,0.015076,39.572,0.155514
C,oddevensort,25000,2.027832,0.798645,0.011047,38.456,0.105831
C,quicksort,25000,2.978088,1.225708,0.016907,38.196,0.150906
C,selectionsort,25000,2.013550,0.818420,0.016357,37.948,0.101511
C++,bubblesort,25000,10.904846,4.571777,0.031494,85.816,0.547523
C++,cyclesort,25000,10.971741,4.613953,0.020813,85.8,0.550176
C++,heapsort,25000,10.637451,4.495850,0.016907,85.856,0.534996
C++,insertionsort,25000,10.697693,4.494202,0.019714,85.224,0.540474
C++,mergesort,25000,11.778625,4.948792,0.017944,87.432,0.594619
C++,oddevensort,25000,10.837830,4.566895,0.019531,86.436,0.544931
C++,quicksort,25000,11.156677,4.713745,0.016724,85.572,0.560854
C++,selectionsort,25000,11.063171,4.590576,0.028381,85.704,0.562229
C#,bubblesort,25000,12.133606,5.140686,0.014893,65.216,0.609456
C#,cyclesort,25000,12.609070,5.341064,0.010681,63.156,0.634571
C#,heapsort,25000,12.236938,5.132324,0.023865,61.292,0.61794
C#,insertionsort,25000,12.637085,5.359009,0.011047,67.284,0.634664
C#,mergesort,25000,12.130920,5.108643,0.020752,67.512,0.610275
C#,oddevensort,25000,12.812500,5.371033,0.021912,67.304,0.646682
C#,quicksort,25000,12.138489,5.136719,0.009644,63.304,0.612477
C#,selectionsort,25000,12.727173,5.379822,0.014587,65.428,0.641287
Go,bubblesort,25000,3.333191,1.186340,0.010742,55.096,0.185023
Go,cyclesort,25000,3.255798,1.214233,0.008118,54.94,0.175996
Go,heapsort,25000,3.648804,1.461365,0.013000,56.516,0.186036
Go,insertionsort,25000,3.637329,1.371887,0.008484,56.78,0.194662
Go,mergesort,25000,3.007629,1.207275,0.008423,56.664,0.15509
Go,oddevensort,25000,3.440857,1.374512,0.007507,58.828,0.178154
Go,quicksort,25000,3.567139,1.439087,0.008362,57.148,0.182517
Go,selectionsort,25000,3.356873,1.359985,0.015259,54.816,0.170902
Haskell,bubblesort,25000,283.460144,117.539185,0.128723,603.448,14.2495
Haskell,cyclesort,25000,539.890320,223.645996,0.193420,699.356,27.1434
Haskell,heapsort,25000,288.536560,119.574463,0.136353,631.98,14.5012
Haskell,insertionsort,25000,283.017212,117.100037,0.147095,668.272,14.2291
Haskell,mergesort,25000,288.900269,119.606567,0.127075,687.584,14.528
Haskell,oddevensort,25000,268.971680,111.404785,0.136902,671.948,13.5153
Haskell,quicksort,25000,279.273865,115.676941,0.149658,607.96,14.0344
Haskell,selectionsort,25000,301.666321,124.904419,0.147888,684.048,15.1588
Rust,bubblesort,25000,212.558411,89.116455,0.106262,1083.296,10.687
Rust,cyclesort,25000,212.667419,89.218750,0.102905,1087.42,10.6876
Rust,heapsort,25000,214.799255,90.134033,0.108276,1077.304,10.7947
Rust,insertionsort,25000,211.439453,88.767578,0.104431,1081.192,10.6198
Rust,mergesort,25000,217.583252,91.411072,0.095947,1101.224,10.9335
Rust,oddevensort,25000,216.776306,90.914551,0.106689,1088.268,10.8955
Rust,quicksort,25000,207.483643,87.066406,0.101318,1091.712,10.4293
Rust,selectionsort,25000,222.402466,93.406921,0.106384,1083.608,11.174
Swift,bubblesort,25000,327.865112,139.200073,0.123596,144.308,16.4691
Swift,cyclesort,25000,339.858826,144.114746,0.130005,143.34,17.0984
Swift,heapsort,25000,348.454651,147.838196,0.135925,147.5,17.5222
Swift,insertionsort,25000,338.182983,143.546143,0.145752,144.392,17.0013
Swift,mergesort,25000,348.357605,147.910828,0.137512,145.528,17.509
Swift,oddevensort,25000,323.441833,137.267456,0.138550,144.036,16.2593
Swift,quicksort,25000,357.076660,151.621094,0.127380,145.308,17.9547
Swift,selectionsort,25000,337.103577,143.291748,0.112000,144.308,16.9435
C,bubblesort,25000,2.624634,1.006409,0.015625,38.32,0.14074
C,bubblesort,50000,2.804260,1.155029,0.017700,42.884,0.141786
C,cyclesort,25000,2.178711,0.896179,0.016479,38.512,0.111858
C,cyclesort,50000,3.640564,1.463135,0.014893,43.348,0.187562
C,heapsort,25000,2.586853,1.055420,0.022339,37.48,0.131256
C,heapsort,50000,3.612183,1.417358,0.023804,42.784,0.187069
C,insertionsort,25000,1.935242,0.785767,0.011353,37.556,0.098661
C,insertionsort,50000,2.715515,1.085510,0.012451,42.112,0.140727
C,mergesort,25000,3.064453,1.253357,0.015076,39.572,0.155514
C,mergesort,50000,3.790710,1.577209,0.015686,44.272,0.190361
